sector,export_value,exposure_us,exposure_cn,exposure_mx,hhi_concentration,top_partner_share,tariff_percent,risk_score
Machinery & Equipment - Subsector 1,78950353898.86067,0.522655535509223,0.2429350352040203,0.0900484914295176,0.28609475889809255,0.522655535509223,0,35.529954444821584
Electrical Machinery - Subsector 2,23362965407.775887,0.5282414000793032,0.24798525979926395,0.06415513891331692,0.2895235771976043,0.5282414000793032,0,35.96211628626069
Agricultural Products - Subsector 3,3265542526.398974,0.5886707608687303,0.16037852792448154,0.0468146675551798,0.36262735690198666,0.5886707608687303,0,36.35217092918403
Energy Products - Subsector 4,8726670268.609154,0.5006720849267347,0.23650456752701157,0.07606346398945027,0.26627357128792956,0.5006720849267347,0,34.172394266604634
Automotive & Parts - Subsector 5,1007750809.8657302,0.6945672636368543,0.019791964512278198,0.12886387385661038,0.49240604174403363,0.6945672636368543,0,38.708413078083346
Furniture & Fixtures - Subsector 1,9927332919.401083,0.38924487492728,0.3821171047083694,0.12747994409864732,0.15500836631747658,0.38924487492728,0,33.86885821302557
Plastics & Chemicals - Subsector 2,2676786477.6185393,0.44037653865907456,0.29721401958780175,0.08064643379462444,0.2103342807059879,0.44037653865907456,0,32.95510837847985
Beverages & Spirits - Subsector 3,18495259079.34707,0.6444310363303902,0.11217822637622908,0.07666129868592654,0.4314729838793417,0.6444310363303902,0,38.02399937172791
Machinery & Equipment - Subsector 4,12710825571.434944,0.452760171636222,0.23100868713159983,0.08983397365002346,0.22104798942169848,0.452760171636222,0,31.926216457650874
Wood & Paper Products - Subsector 5,2807572884.9427104,0.6677730895579289,0.1776826458505769,0.05243017568433897,0.4498355545404757,0.6677730895579289,0,41.88600116166117
Machinery & Equipment - Subsector 1,2197366495.1255245,0.4922295772023137,0.3095568948441348,0.06996659845465349,0.2473591939848869,0.4922295772023137,0,36.31381490391162
Electronics - Subsector 2,3481156042.0858717,0.4056801971193246,0.31854212659292697,0.0904302911299007,0.1791040559771281,0.4056801971193246,0,32.11281442964162
Machinery & Equipment - Subsector 3,884214045.1991588,0.47016717682825426,0.21510131143902958,0.10196079904750002,0.23804170184279083,0.47016717682825426,0,32.31817221368271
Machinery & Equipment - Subsector 4,3931543181.484177,0.5296977617619041,0.178841801620578,0.084887184348099,0.2979117101371331,0.5296977617619041,0,33.97218940266931
Mineral Products - Subsector 5,5537031643.976132,0.6407345140332772,0.16325150836453514,0.02540769916355148,0.4212658698228664,0.6407345140332772,0,39.39367854936053
Mineral Products - Subsector 1,11615274666.382048,0.6509134848857909,0.12727166091930642,0.05632864755566877,0.43282298034805605,0.6509134848857909,0,39.14483495251839
Agricultural Products - Subsector 2,721808690.6500916,0.6413891335483262,0.11994556997985757,0.07407173454059804,0.425628364998177,0.6413891335483262,0,38.15303529486899
Energy Products - Subsector 3,8189431341.720685,0.6003724434102902,0.14864757455151498,0.07168842665138629,0.3791890133377818,0.6003724434102902,0,36.57471340364925
Energy Products - Subsector 4,10911575425.303024,0.5710474963649457,0.2011175554918186,0.04817067347559191,0.3431992519682894,0.5710474963649457,0,36.4809737463451
Machinery & Equipment - Subsector 5,23872670422.178165,0.4843304524874666,0.27438034688160884,0.11553241561848782,0.23971722259893408,0.4843304524874666,0,35.18148293603108
Agricultural Products - Subsector 1,1237440030.6380641,0.592560244010525,0.13604994611161983,0.0706223751331557,0.3722728214745287,0.592560244010525,0,35.73094296378137
Energy Products - Subsector 2,19783146986.352493,0.5647617786250496,0.21185436169069025,0.05894476715162891,0.3263428757530965,0.5647617786250496,0,37.15238866178898
Energy Products - Subsector 3,4967987110.599781,0.5215000663455669,0.23371765865223343,0.04141785074042932,0.285018623053928,0.5215000663455669,0,35.12332742454537
Optical & Medical Instruments - Subsector 4,437140104897.17035,0.4271814380532137,0.2154691365974307,0.10011076944396867,0.2090901638801467,0.4271814380532137,0,30.059766139672245
Automotive & Parts - Subsector 5,3781903944.71006,0.682823041276555,0.037174838645660055,0.12014286843058551,0.47443678956965174,0.682823041276555,0,38.71831588037091
Wood & Paper Products - Subsector 1,26698254573.362736,0.6259009660897228,0.1861629689907281,0.04936641649884731,0.397607630733403,0.6259009660897228,0,39.674380822273825
Pharmaceuticals - Subsector 2,15999724917.87337,0.43423704524335516,0.2958553017926163,0.08644916846646016,0.20325869159051826,0.43423704524335516,0,32.73350950421335
Metals & Ores - Subsector 3,2390116135446.6455,0.5833302048823238,0.19982171978888222,0.06685987963380279,0.35095681603429046,0.5833302048823238,0,37.43610748781636
Mineral Products - Subsector 4,8136987525.408182,0.6409047888433052,0.15058828583289974,0.05840012885151903,0.4205192534714492,0.6409047888433052,0,39.1856599291257
Energy Products - Subsector 5,1467239630.4669645,0.6417250605029591,0.11589895271918982,0.023735108008872262,0.430555190048888,0.6417250605029591,0,37.68350889337613
Mineral Products - Subsector 1,15760091944.753613,0.557363192204825,0.21647065369053967,0.03578585026848189,0.33244503512122237,0.557363192204825,0,35.9985698362837
Energy Products - Subsector 2,27075595612.36829,0.5551282868020637,0.14370821546895995,0.055329828470435605,0.33458754386729744,0.5551282868020637,0,33.85508259355194
Wood & Paper Products - Subsector 3,14378429644.893097,0.6538521013512504,0.17118931325357795,0.036628941941401275,0.43418795565475404,0.6538521013512504,0,40.68888480940558
Automotive & Parts - Subsector 4,23616628943.214764,0.6985547080621182,0.04370427555311426,0.08317205690155301,0.5002137973059297,0.6985547080621182,0,39.30375642785832
Machinery & Equipment - Subsector 5,8204666907.908429,0.49803627411265183,0.22431144341927056,0.1214058695441871,0.2598160043570888,0.49803627411265183,0,34.04801291057995
Wood & Paper Products - Subsector 1,4145525686.149855,0.5420035885332958,0.1843728727931088,0.044565512235298116,0.3157591947439753,0.5420035885332958,0,34.41356830544035
Energy Products - Subsector 2,3052475389.56509,0.6500026992145667,0.14561238591374087,0.026681160277281207,0.4358570495918368,0.6500026992145667,0,39.26341548718948
Optical & Medical Instruments - Subsector 3,26427447432.341827,0.4128566543062541,0.32582826237612655,0.08803566004027627,0.18399983290089672,0.4128566543062541,0,32.63593196579203
Electrical Machinery - Subsector 4,25485878730.049747,0.4282062132603303,0.27166460133677944,0.10330732729425622,0.19575692312190413,0.4282062132603303,0,32.09605631893113
Rubber Products - Subsector 5,25034739843.11566,0.46130746372031606,0.2763494219963903,0.07187641852865946,0.2301153145482083,0.46130746372031606,0,33.31294983493222
Machinery & Equipment - Subsector 1,41978866381.40894,0.5115179540767368,0.27290037645503046,0.08612853482871258,0.2675248452801888,0.5115179540767368,0,36.20534482396952
Electronics - Subsector 2,24227637838.33997,0.40826873777871264,0.3313725120189152,0.05990203327432574,0.1793805518728256,0.40826873777871264,0,32.56918201622866
Automotive & Parts - Subsector 3,3645314125.4627166,0.7083101365064755,0.04966628483962277,0.07575120546863114,0.5161994141015883,0.7083101365064755,0,39.90668085676585
Electrical Machinery - Subsector 4,10465403434.975498,0.41562612088506556,0.2681742270548033,0.10457413743284047,0.1855693228563626,0.41562612088506556,0,31.514579921532608
Furniture & Fixtures - Subsector 5,11990058409.040127,0.36316971590063635,0.3394955876707255,0.16817157769899857,0.1400660328356388,0.36316971590063635,0,31.42560944874332
Wood & Paper Products - Subsector 1,2136467116.4619558,0.6661714613849405,0.15030498473145093,0.0357339548570804,0.4497845840513465,0.6661714613849405,0,40.94656804092012
Automotive & Parts - Subsector 2,65151505511.52401,0.682675589542656,0.042304952405678026,0.12242849746916382,0.4748867390954781,0.682675589542656,0,38.74712528118519
Agricultural Products - Subsector 3,31152865741.622288,0.5734294566040983,0.218615086308872,0.021126586665847585,0.3402253129827701,0.5734294566040983,0,37.309656326646504
Energy Products - Subsector 4,12337383521.05434,0.5471664598741041,0.1725641678275134,0.041932407655422235,0.32518407503470403,0.5471664598741041,0,34.2106317617051
Beverages & Spirits - Subsector 5,123255108313.16052,0.6415263686033303,0.06049244139676654,0.08560100954015548,0.42611210114106063,0.6415263686033303,0,36.597457591742796
Fish & Seafood - Subsector 1,565694107.1319325,0.6914287316652198,0.1096721552949294,0.02216598993251467,0.48674724750661147,0.6914287316652198,0,40.94115982245696
Iron & Steel - Subsector 2,56306420035.58819,0.6167211385996132,0.15730934552090514,0.041464011738305336,0.3966151655683078,0.6167211385996132,0,37.66156653675796
Electrical Machinery - Subsector 3,8850230001.638582,0.4274929882806876,0.328020871105688,0.10767245902333243,0.18852698262859943,0.4274929882806876,0,33.90066918500088
Metals & Ores - Subsector 4,15985119385.638275,0.6199763180627873,0.1528248438417133,0.0266565486620503,0.39795188303080625,0.6199763180627873,0,37.81450182229057
Wood & Paper Products - Subsector 5,1737791074.1727297,0.5786998092774404,0.21883467269292567,0.04179066006382611,0.3473135177563021,0.5786998092774404,0,37.535641451570164
Automotive & Parts - Subsector 1,20678141786.082134,0.6794191036713855,0.05000937583868447,0.09700976117040866,0.47258415587388053,0.6794191036713855,0,38.57534190845538
Plastics & Chemicals - Subsector 2,13145745542.802061,0.46921381396573525,0.2723722076923156,0.12243178453453611,0.2263757635095536,0.46921381396573525,0,34.35012575673447
Machinery & Equipment - Subsector 3,7035423430.345228,0.6079319228383923,0.21561418452953574,0.06270002085341178,0.37508873505516344,0.6079319228383923,0,39.48140540379199
Energy Products - Subsector 4,3335469911.5038233,0.5858286968117423,0.24139773526925928,0.049858593634192316,0.34817018766201835,0.5858286968117423,0,39.09980743881364
Automotive & Parts - Subsector 5,2249461269.1339116,0.7195431119853332,0.04774278526785054,0.09463376481454501,0.52303461330022,0.7195431119853332,0,41.26755189835594
Agricultural Products - Subsector 1,3334251707.3493023,0.509121174710309,0.22780151499711884,0.07419856252872101,0.2760075826344691,0.509121174710309,0,34.264026419532314
Mineral Products - Subsector 2,3115135464.307383,0.6154795398924858,0.15330173537055006,0.04712640917345912,0.3950189503896615,0.6154795398924858,0,37.52409114088475
Mineral Products - Subsector 3,2801459898.531857,0.6573697172352773,0.12582760723308747,0.05078028074860961,0.4430307128794717,0.6573697172352773,0,39.29577791931935
Rubber Products - Subsector 4,1458893095.7468405,0.48145935499008874,0.25093254845050644,0.11318119772084996,0.2421750420342607,0.48145935499008874,0,34.00126342790354
Plastics & Chemicals - Subsector 5,906783677.4023695,0.4500120108605926,0.2154280520077294,0.08992864739474618,0.22939639349283966,0.4500120108605926,0,30.97393370749282
Energy Products - Subsector 1,17192166689.207638,0.6559573337922946,0.148228341821808,0.03725830686421279,0.4380345102556495,0.6559573337922946,0,40.07846628588169
Plastics & Chemicals - Subsector 2,15664167537.532753,0.5813157248510313,0.15524192029238562,0.08084601924030016,0.34704384395294213,0.5813157248510313,0,36.428828907286466
Wood & Paper Products - Subsector 3,1705173956.497262,0.6245849618946144,0.14436896003404004,0.06727495663910746,0.4018703763305963,0.6245849618946144,0,38.02005267636444
Automotive & Parts - Subsector 4,2032730477.4982312,0.737160615681269,0.03475174322189308,0.11238788531519256,0.5474997407374049,0.737160615681269,0,42.07408925138487
Electrical Machinery - Subsector 5,4150242157.1273127,0.39664373452278484,0.34640578439918607,0.06490759338723168,0.16935005244897672,0.39664373452278484,0,32.49058073169367
Machinery & Equipment - Subsector 1,8413896475.126034,0.5038177384020341,0.2518552821158421,0.11671840927527288,0.2588062401882283,0.5038177384020341,0,35.52172625719528
Iron & Steel - Subsector 2,5850248546.438271,0.548530445735891,0.22783648998815081,0.03334858053465743,0.31734547883847564,0.548530445735891,0,36.04394531327306
Machinery & Equipment - Subsector 3,7596043873.363955,0.5463976543105633,0.20159185874209842,0.11616126083320534,0.3049801558358905,0.5463976543105633,0,36.079267473801806
Rubber Products - Subsector 4,91346134660.32716,0.4526782254028404,0.23612714541013252,0.1283698002009043,0.217905822220317,0.4526782254028404,0,32.266212020247906
Automotive & Parts - Subsector 5,25674639756.647137,0.6986371824898647,0.04879124928072238,0.10008460412539198,0.4957432065183133,0.6986371824898647,0,39.91564229174453
Wood & Paper Products - Subsector 1,2045974616.6779213,0.6046170997159723,0.21452813341028554,0.03755151074843334,0.37172738709464287,0.6046170997159723,0,39.26160520323807
Electronics - Subsector 2,2314783589.5777664,0.4066606471936764,0.263110470356915,0.10761744314264442,0.18198803057802615,0.4066606471936764,0,30.765745741938876
Cereals & Grains - Subsector 3,1142270496.2285821,0.60776923900045,0.15781435583866557,0.04703093484732462,0.38232444860687353,0.60776923900045,0,37.428978242165215
Automotive & Parts - Subsector 4,124342113284.60327,0.6888595926410549,0.06295370606118234,0.09913064992732777,0.4805612442132467,0.6888595926410549,0,39.92989405528809
Textiles & Apparel - Subsector 5,55597045937.940025,0.38101819804994924,0.3796410888035822,0.11354002900930196,0.149911176399365,0.38101819804994924,0,33.32407874218283
Pharmaceuticals - Subsector 1,1619056281.3269038,0.4682291902028592,0.32839788028429934,0.0804138252619361,0.2238582014247281,0.4682291902028592,0,35.7353744595911
Cereals & Grains - Subsector 2,617371081.1151611,0.620418856129312,0.16570426100213578,0.07002303663409183,0.3916785569402581,0.620418856129312,0,38.753382262700754
Mineral Products - Subsector 3,4936551271.24094,0.5543587528909403,0.2252692000611751,0.0396394996314853,0.32166663224275654,0.5543587528909403,0,36.39885974329267
Electrical Machinery - Subsector 4,1405244258.1425908,0.45519493994703436,0.3224459621924959,0.05527285159569251,0.21561510548154408,0.45519493994703436,0,34.653080671417605
Automotive & Parts - Subsector 5,47900588423.00078,0.7033691078924323,0.04917539775586335,0.07719768205369133,0.5046117491842097,0.7033691078924323,0,39.895953726839515
Energy Products - Subsector 1,329530834.8754984,0.6196228211242529,0.2229432640483357,0.03907315588564863,0.3880478117157395,0.6196228211242529,0,40.44571236084258
Optical & Medical Instruments - Subsector 2,3364298933.1730375,0.5506354355456176,0.23477513728841845,0.07490392870854184,0.31026868416086434,0.5506354355456176,0,37.04807036172902
Energy Products - Subsector 3,15395293438.66157,0.5514027583118227,0.1447486921037566,0.06717530537767223,0.32409607007433444,0.5514027583118227,0,33.99895122006897
Energy Products - Subsector 4,29548723023.10862,0.7109922800071306,0.1067118682605455,0.026304230314096965,0.5190037899495505,0.7109922800071306,0,41.55784607250623
Machinery & Equipment - Subsector 5,5599329146.714434,0.47432022494221887,0.23053854115137548,0.11124931160680594,0.2386119740486124,0.47432022494221887,0,32.992495598119085
Energy Products - Subsector 1,4282691562.4924407,0.5878868075858161,0.18287292217548035,0.024213721227025732,0.3609315764166805,0.5878868075858161,0,36.855924005956034
Wood & Paper Products - Subsector 2,6784099494.390545,0.6413960942375531,0.14193625471731108,0.02902663925788456,0.4212145500830147,0.6413960942375531,0,39.039648237007015
Automotive & Parts - Subsector 3,10848692886.846249,0.6985117160977548,0.02258302805797615,0.10042489789986528,0.501793642307882,0.6985117160977548,0,38.668370708544764
Metals & Ores - Subsector 4,32266723788.52143,0.5651894281875741,0.25050978646692273,0.04766603644487073,0.32621251396417833,0.5651894281875741,0,38.09518946731728
Automotive & Parts - Subsector 5,1778733629.0476096,0.7264721510559006,0.03190976365708142,0.09856713604197762,0.5347851012114764,0.7264721510559006,0,41.002888584339324
Fish & Seafood - Subsector 1,383206150853.6388,0.6725021405588539,0.1375567057527616,0.02275012880386102,0.4647414126778772,0.6725021405588539,0,40.287819772141674
Machinery & Equipment - Subsector 2,21362304635.308712,0.5850720898886027,0.16910680348739937,0.05677090250789218,0.3540068755738309,0.5850720898886027,0,36.65298712485861
Optical & Medical Instruments - Subsector 3,3178151810.469884,0.399273785194043,0.31399201076251,0.07430873209722712,0.18231898432888002,0.399273785194043,0,31.390264863765044
Energy Products - Subsector 4,6650895004.882071,0.5308641571908989,0.20151669327057795,0.05578748381821856,0.2986934824204315,0.5308641571908989,0,34.55567290960189
Electrical Machinery - Subsector 5,611743990.4332672,0.5004069590959944,0.19306791139213167,0.09230601953823282,0.27038457742370314,0.5004069590959944,0,32.9045022285683
Optical & Medical Instruments - Subsector 1,30187432909.90156,0.3533906680068114,0.3321679179001497,0.10181688072108452,0.141596607583961,0.3533906680068114,0,30.254973901477634
Agricultural Products - Subsector 2,3407343337.2649236,0.6522905466180965,0.1410723466970369,0.029409358442954853,0.43420031830315736,0.6522905466180965,0,39.637494441599465
Wood & Paper Products - Subsector 3,8359728779.385814,0.6521589303382097,0.14646854491899988,0.05703004440135753,0.4313864802982522,0.6521589303382097,0,40.108151744715286
