"Expected average wage change over the next 12 months, fourth quarter of 2024 1 2 3"
"Frequency: Occasional"
"Table: 33-10-0906-01"
"Release date: 2024-11-25"
"Geography: Canada, Province or territory"
""
""

"Geography","Canada",,,,,,,
"Expected average wage change over the next 12 months 4","Expected average wage change over the next 12 months, increase","Expected rate of increase in wages over the next 12 months, at a slower rate than last year","Expected rate of increase in wages over the next 12 months, at a similar rate as last year","Expected rate of increase in wages over the next 12 months, at a faster rate than last year","Expected rate of increase in wages over the next 12 months, unknown","Expected average wage change over the next 12 months, stay the same","Expected average wage change over the next 12 months, decrease","Expected average wage change over the next 12 months, unknown"
"Business characteristics"
,"Percent",,,,,,,
"North American Industry Classification System (NAICS), all industries","42.6A","15.5A","57.6A","17.0A","9.9A","39.8A","4.3A","13.4A"
"Agriculture, forestry, fishing and hunting","41.5B","11.5B","63.4C","7.8B","17.4C","47.2B","0.6A","10.7B"
"Mining, quarrying, and oil and gas extraction","31.6C","17.7C","65.2D","12.6B","4.5A","54.2C","1.3A","12.9B"
"Construction","39.2B","18.7B","63.0C","8.4B","10.0B","42.6B","6.3B","11.9B"
"Manufacturing","50.2B","12.2B","56.3C","17.5C","13.9C","36.0B","5.9B","7.9A"
"Wholesale trade","47.3B","26.7B","55.9C","11.5B","5.9B","32.7B","3.8A","16.2B"
"Retail trade","46.2B","21.2B","58.7B","15.2B","4.9A","36.1B","2.4A","15.3B"
"Transportation and warehousing","19.6B","18.1C","64.1C","13.7B","4.1A","39.5C","12.4B","28.6C"
"Information and cultural industries","27.4B","16.8B","61.1C","16.5B","5.6A","52.3C","7.0B","13.3B"
"Finance and insurance","42.0C","29.0D","50.4D","15.1D","5.5B","39.7C","1.5A","16.8B"
"Real estate and rental and leasing","35.4C","10.7B","62.3D","11.7C","15.3D","42.5C","6.2B","15.9B"
"Professional, scientific and technical services","43.0B","17.0B","59.3C","17.8B","5.9B","42.7B","6.2A","8.1B"
"Administrative and support, waste management and remediation services","48.9C","16.7C","47.6C","16.2C","19.5C","35.5B","3.2A","12.4B"
"Health care and social assistance","45.3B","9.5B","57.3C","20.3B","12.9B","42.0B","1.1A","11.6A"
"Arts, entertainment and recreation","47.5C","9.6A","73.7C","11.7B","5.0A","39.2C","2.6A","10.7B"
"Accommodation and food services","56.5B","6.0A","48.3B","32.9B","12.8B","35.9B","0.9A","6.6A"
