reporter_name,reporter_code,year,classification,classification_version,duty_scheme_code,duty_scheme_name,product_code,mtn_categories,simple_average,trade_weighted,duty_free_share
Canada,C124,1999,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",5.80152771694733,3.88389280104103,0.506872305886954
Canada,C124,1996,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",8.53120968748246,5.98441573008516,0.331889673381577
Canada,C124,2002,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",5.77279041587441,3.95020373983149,0.536397090352222
Canada,C124,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.89882385552755,3.38143667100855,0.77388288472248
Canada,C124,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",4.02248524723282,3.7268985542119,0.777590012994245
Canada,C124,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.91503684637094,3.59567871073454,0.777750445473984
Canada,C124,1998,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",6.15459509240967,4.20342045891435,0.495953686681008
Canada,C124,2004,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",5.62145178142638,3.99947318075519,0.546158882082695
Canada,C124,2009,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",5.25266654882951,3.85061491398073,0.588688440221693
Canada,C124,2013,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",4.14601097272641,3.30330432631307,0.733022901056676
Canada,C124,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",4.02152601318973,3.45049447789502,0.777590012994245
Canada,C124,2003,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",5.6590059356211,3.9822080529545,0.550514529096479
Canada,C124,2014,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",4.10386752553483,3.32696314347494,0.735144265129683
Canada,C124,2000,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",5.6000194641242,3.48360251231159,0.51749479757481
Canada,C124,2008,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",5.3791526352045,3.81392829516321,0.567601009501186
Canada,C124,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",4.00701547961356,3.62711073302158,0.777497196955634
Canada,C124,2025,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.81006555097293,,0.777928635067711
Canada,C124,2012,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",4.28386459292215,3.20717510047635,0.718200922190201
Canada,C124,2015,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",4.05011647943251,3.51795362753397,0.758121133525456
Canada,C124,2017,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.8332456457224,3.49474806006802,0.773604436606645
Canada,C124,2010,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",4.41391798882725,3.29413106838485,0.708448218527315
Canada,C124,2006,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",5.41082842395028,3.82302314784761,0.566841500765696
Canada,C124,2016,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",4.0280531066717,3.61346775358151,0.758121133525456
Canada,C124,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.81006555097293,3.85287711035871,0.777928635067711
Canada,C124,2011,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",4.34114541943577,3.1184794037407,0.713932284243864
Canada,C124,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.88770060174619,3.71170825590078,0.777750445473984
Canada,C124,1997,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",8.00450368604741,5.52879345117918,0.33159235282613
Canada,C124,2005,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",5.42645329589564,3.84736981791849,0.566841500765696
Canada,C124,2001,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",5.49523396186084,3.67692770028602,0.522658400156465
Canada,C124,2007,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",5.38072407468981,3.95764258112952,0.567121714172604
